,,Interval,Transfer - A,Transfer Unit - A,Bandwidth - A,Bandwidth Unit - A,Transfer - C,Transfer Unit - C,Bandwidth - C,Bandwidth Unit - C
reno/westwood:3,8,8.0- 9.0 sec,32.5,KBytes,266,Kbits/sec,31.1,KBytes,255,Kbits/sec
reno/westwood:3,9,9.0-10.0 sec,35.4,KBytes,290,Kbits/sec,0.00,Bytes,0.00,bits/sec
reno/westwood:3,10,10.0-11.0 sec,1.41,KBytes,11.6,Kbits/sec,31.1,KBytes,255,Kbits/sec
reno/westwood:3,11,11.0-12.0 sec,35.4,KBytes,290,Kbits/sec,33.9,KBytes,278,Kbits/sec
reno/westwood:3,12,12.0-13.0 sec,1.41,KBytes,11.6,Kbits/sec,0.00,Bytes,0.00,bits/sec
reno/westwood:3,13,13.0-14.0 sec,36.8,KBytes,301,Kbits/sec,35.4,KBytes,290,Kbits/sec
reno/westwood:3,14,14.0-15.0 sec,39.6,KBytes,324,Kbits/sec,0.00,Bytes,0.00,bits/sec
reno/westwood:3,15,15.0-16.0 sec,0.00,Bytes,0.00,bits/sec,36.8,KBytes,301,Kbits/sec
reno/westwood:3,16,16.0-17.0 sec,41.0,KBytes,336,Kbits/sec,0.00,Bytes,0.00,bits/sec
reno/westwood:3,17,17.0-18.0 sec,2.83,KBytes,23.2,Kbits/sec,38.2,KBytes,313,Kbits/sec
reno/westwood:3,18,18.0-19.0 sec,42.4,KBytes,348,Kbits/sec,0.00,Bytes,0.00,bits/sec
reno/westwood:3,19,19.0-20.0 sec,1.41,KBytes,11.6,Kbits/sec,39.6,KBytes,324,Kbits/sec
reno/westwood:3,20,0.0-20.5 sec,532,KBytes,213,Kbits/sec,475,KBytes,190,Kbits/sec
reno/westwood:4,0,0.0- 1.0 sec,105,KBytes,857,Kbits/sec,105,KBytes,857,Kbits/sec
reno/westwood:4,1,1.0- 2.0 sec,31.1,KBytes,255,Kbits/sec,0.00,Bytes,0.00,bits/sec
reno/westwood:4,2,2.0- 3.0 sec,31.1,KBytes,255,Kbits/sec,31.1,KBytes,255,Kbits/sec
reno/westwood:4,3,3.0- 4.0 sec,0.00,Bytes,0.00,bits/sec,31.1,KBytes,255,Kbits/sec
