,,Interval,Transfer - A,Transfer Unit - A,Bandwidth - A,Bandwidth Unit - A,Transfer - C,Transfer Unit - C,Bandwidth - C,Bandwidth Unit - C
reno/westwood:4,2,2.0- 3.0 sec,133,KBytes,1.09,Mbits/sec,83.4,KBytes,683,Kbits/sec
reno/westwood:4,3,3.0- 4.0 sec,45.2,KBytes,371,Kbits/sec,242,KBytes,1.98,Mbits/sec
reno/westwood:4,4,4.0- 5.0 sec,0.00,Bytes,0.00,bits/sec,187,KBytes,1.53,Mbits/sec
reno/westwood:4,5,5.0- 6.0 sec,130,KBytes,1.07,Mbits/sec,0.00,Bytes,0.00,bits/sec
reno/westwood:4,6,6.0- 7.0 sec,69.3,KBytes,568,Kbits/sec,0.00,Bytes,0.00,bits/sec
reno/westwood:4,7,7.0- 8.0 sec,63.6,KBytes,521,Kbits/sec,58.0,KBytes,475,Kbits/sec
reno/westwood:4,8,8.0- 9.0 sec,0.00,Bytes,0.00,bits/sec,202,KBytes,1.66,Mbits/sec
reno/westwood:4,9,9.0-10.0 sec,0.00,Bytes,0.00,bits/sec,127,KBytes,1.04,Mbits/sec
reno/westwood:4,10,10.0-11.0 sec,0.00,Bytes,0.00,bits/sec,191,KBytes,1.56,Mbits/sec
reno/westwood:4,11,11.0-12.0 sec,0.00,Bytes,0.00,bits/sec,0.00,Bytes,0.00,bits/sec
reno/westwood:4,12,12.0-13.0 sec,63.6,KBytes,521,Kbits/sec,0.00,Bytes,0.00,bits/sec
reno/westwood:4,13,13.0-14.0 sec,0.00,Bytes,0.00,bits/sec,63.6,KBytes,521,Kbits/sec
reno/westwood:4,14,14.0-15.0 sec,0.00,Bytes,0.00,bits/sec,255,KBytes,2.09,Mbits/sec
reno/westwood:4,15,15.0-16.0 sec,0.00,Bytes,0.00,bits/sec,127,KBytes,1.04,Mbits/sec
reno/westwood:4,16,16.0-17.0 sec,0.00,Bytes,0.00,bits/sec,127,KBytes,1.04,Mbits/sec
reno/westwood:4,17,17.0-18.0 sec,0.00,Bytes,0.00,bits/sec,0.00,Bytes,0.00,bits/sec
reno/westwood:4,18,18.0-19.0 sec,0.00,Bytes,0.00,bits/sec,63.6,KBytes,521,Kbits/sec
reno/westwood:4,19,19.0-20.0 sec,0.00,Bytes,0.00,bits/sec,0.00,Bytes,0.00,bits/sec
reno/illinois:0,0,0.0- 1.0 sec,167,KBytes,1.37,Mbits/sec,105,KBytes,857,Kbits/sec
reno/illinois:0,1,1.0- 2.0 sec,124,KBytes,1.02,Mbits/sec,0.00,Bytes,0.00,bits/sec
reno/illinois:0,2,2.0- 3.0 sec,53.7,KBytes,440,Kbits/sec,31.1,KBytes,255,Kbits/sec
reno/illinois:0,3,3.0- 4.0 sec,14.1,KBytes,116,Kbits/sec,93.3,KBytes,765,Kbits/sec
reno/illinois:0,4,4.0- 5.0 sec,7.07,KBytes,57.9,Kbits/sec,109,KBytes,892,Kbits/sec
reno/illinois:0,5,5.0- 6.0 sec,63.6,KBytes,521,Kbits/sec,0.00,Bytes,0.00,bits/sec
reno/illinois:0,6,6.0- 7.0 sec,0.00,Bytes,0.00,bits/sec,0.00,Bytes,0.00,bits/sec
reno/illinois:0,7,7.0- 8.0 sec,0.00,Bytes,0.00,bits/sec,249,KBytes,2.04,Mbits/sec
reno/illinois:0,8,8.0- 9.0 sec,0.00,Bytes,0.00,bits/sec,178,KBytes,1.46,Mbits/sec
reno/illinois:0,9,9.0-10.0 sec,0.00,Bytes,0.00,bits/sec,0.00,Bytes,0.00,bits/sec
